# sample; mag1 in nT; mag2 in nT; grad in nT
7446527;43605.25503112451406;43693.67584790442197;-88.42081677989924
7446528;43623.60376315205940;43693.89384733117913;-70.29008417911790
7446529;43628.96737606861279;43690.54272593636415;-61.57534986774569
7446530;43638.64739089929935;43692.89825869014749;-54.25086779084666
7446531;43643.31134508166724;43694.41332172676630;-51.10197664510178
7446532;43645.98083004052023;43692.69420318349876;-46.71337314297678
7446533;43646.21234661236667;43691.81425616490014;-45.60190955253617
7446534;43645.15248243162205;43687.61017376620293;-42.45769133457951
7446535;43644.42407852889301;43686.65846200106898;-42.23438347217138
7446536;43642.51332104221365;43682.23157120589894;-39.71825016369122
7446537;43642.41662323384662;43682.34202717755397;-39.92540394371046
7446538;43643.75400552959763;43681.51619678604038;-37.76219125643378
7446539;43648.80919698518846;43686.97357928653946;-38.16438230135292
7446540;43646.57933287063497;43682.66785250944667;-36.08851963880932
7446541;43645.81331013661111;43682.58706119802810;-36.77375106141745
7446542;43647.98474047771015;43682.90034369399655;-34.91560321628769
7446543;43649.36394522741466;43685.03197753443237;-35.66803230701800
7446544;43052.94143010448897;43017.97421809232765;34.96721201216460
7446545;nan;nan;nan
7446546;nan;nan;nan
7446547;nan;nan;nan
7446548;nan;nan;nan
7446549;nan;nan;nan
7446550;nan;nan;nan
7446551;nan;nan;nan
7446552;nan;nan;nan
7446553;nan;nan;nan
7446554;43322.97344005054038;43674.47718226263532;-351.50374221209773
7446555;43492.41668785868387;43683.02570597793965;-190.60901811925626
7446556;43564.48622615593922;43680.50824114189163;-116.02201498595772
7446557;43593.22961284571647;43681.72321943849965;-88.49360659279415
7446558;43610.94558420974499;43681.78749649856036;-70.84191228881441
7446559;43624.97665884777234;43687.01823135753511;-62.04157250975540
7446560;43628.56876552617905;43683.00224416553829;-54.43347863935114
7446561;43631.44487314729486;43682.82172736125358;-51.37685421395341
7446562;43635.99266027447447;43683.05944108367839;-47.06678080919681
7446563;43639.31738131653401;43685.14253773070959;-45.82515641417177
7446564;43645.24262244447891;43687.89483139087679;-42.65220894639762
7446565;43648.21850169227400;43690.51175734601566;-42.29325565373823
7446566;43654.21560089087870;43693.91208343734615;-39.69648254647932
7446567;43655.23780908405024;43695.04158554317837;-39.80377645912163
7446568;43657.20361293424503;43694.77294349714066;-37.56933056289517
7446569;43652.67081697917456;43690.71244858481077;-38.04163160562980
7446570;43657.24298474200623;43693.30415847450786;-36.06117373251149
7446571;43658.13103591145045;43694.82463431132055;-36.69359839986667
7446572;43658.51778550299787;43693.32195999014220;-34.80417448715028
7446573;43656.83837791550468;43692.39402454305673;-35.55564662755802
7446574;43064.15712838367472;43020.08846498939238;44.06866339428581
7446575;nan;nan;nan
7446576;nan;nan;nan
7446577;nan;nan;nan
7446578;nan;nan;nan
7446579;nan;nan;nan
7446580;nan;nan;nan
7446581;nan;nan;nan
7446582;nan;nan;nan
7446583;nan;nan;nan
7446584;43322.09910169792420;43673.67091483988770;-351.57181314196282
7446585;43495.63433873001486;43686.01519710920547;-190.38085837918857
7446586;43576.20486042158154;43692.20905481130467;-116.00419438972234
7446587;43605.28579144770629;43693.76779677008017;-88.48200532236464
7446588;43623.88921727583511;43694.15081049894070;-70.26159322310106
7446589;43628.39781454434706;43690.01905005864683;-61.62123551430377
7446590;43638.78714811781538;43693.04081185770337;-54.25366373989517
7446591;43643.97113675129367;43695.04215919393027;-51.07102244264332
7446592;43646.22799817545456;43692.90194906260149;-46.67395088714733
7446593;43646.64046183694882;43692.21637012701103;-45.57590829007129
7446594;43645.60461526129075;43688.01536497398774;-42.41074971270292
7446595;43644.89422611945338;43687.11858735608257;-42.22436123662083
7446596;43642.93492818032246;43682.64981157590955;-39.71488339558835
7446597;43642.64706932697300;43682.59822011041251;-39.95115078344509
7446598;43644.19759133228945;43681.93859275809518;-37.74100142580041
7446599;43649.37705729747540;43687.52629481446638;-38.14923751700340
7446600;43647.26820287333248;43683.35047471884172;-36.08227184551521
7446601;43646.17070984447491;43682.91273705328786;-36.74202720881258
7446602;43648.19140315563709;43683.09870633746323;-34.90730318183129
7446603;43649.37040435133531;43685.00928906145418;-35.63888471011474
7446604;43083.50086724018911;43025.10504252443206;58.39582471575879
7446605;nan;nan;nan
7446606;nan;nan;nan
7446607;nan;nan;nan
7446608;nan;nan;nan
7446609;nan;nan;nan
7446610;nan;nan;nan
7446611;nan;nan;nan
7446612;nan;nan;nan
7446613;nan;nan;nan
7446614;43321.85171968599752;43673.53968151780282;-351.68796183180785
7446615;43491.94880277524499;43682.42939299406135;-190.48059021881318
7446616;43563.89216130621207;43679.91366254840250;-116.02150124218542
7446617;43592.29296594436164;43680.75131584271730;-88.45834989835755
7446618;43609.90615154528496;43680.76308669328864;-70.85693514800219
7446619;43624.66265018423292;43686.68958540372842;-62.02693521949222
7446620;43628.01957821533870;43682.45000209441059;-54.43042387907915
7446621;43630.74480848600797;43682.17720666158129;-51.43239817557776
